,id,num_nodes_joke,num_nodes_nonj
268,59aqqq,8,8
269,5j8x6q,5,5
270,1k0b4z,7,5
271,1k1i0p,7,8
272,635b5j,5,5
273,3x8wc4,4,4
274,58evf2,5,5
275,644fyl,4,5
276,2q80o5,3,3
277,643o4b,3,3
278,a45qst,10,9
279,1kz4qy,4,4
280,5iz0al,2,2
281,2r2po8,5,5
282,1qmhxz,3,5
283,4xq9r5,7,2
284,1pzuvb,5,5
285,5iz8wc,5,5
286,62xp9s,6,6
287,9y4tfu,13,2
288,1rwu3g,5,5
289,5vowom,2,2
290,2ra4ub,4,4
291,5zz11w,5,5
292,9xilpa,6,12
293,1r63a1,7,0
294,5vobdy,3,6
295,9xm222,15,11
296,4lfp3e,9,7
297,589eyr,9,10
298,4xwqzp,2,4
299,64b95p,28,28
300,6t1nr9,6,4
301,5j3adm,5,7
302,6rgsni,8,7
303,64dg8i,4,4
304,3lxn9n,5,4
305,1pmeqv,5,5
306,2qzf4a,5,3
307,3bsr0c,4,4
308,4h2crp,11,11
309,5j1nsg,4,4
310,6t20g4,4,4
311,5885zs,3,3
312,637fct,6,6
313,3mr0l9,2,5
314,2oyukh,3,4
315,2oz8ur,7,7
316,58wn61,6,7
317,4gmvjr,2,2
318,2owlmd,9,9
319,5jg95q,5,4
320,4ylzyk,9,6
321,5crm5p,7,7
322,3xiiyb,5,9
323,5v84q6,7,7
324,4ynm6l,4,6
325,2ouhss,4,0
326,3qa1pn,4,4
327,adqciq,10,10
328,1aus2t,6,6
329,3mw8n7,4,4
330,6s0h8l,3,5
331,2od55x,4,3
332,1a2tsk,3,3
333,47reto,3,3
334,1c1qjf,5,5
335,5948as,4,3
336,1bv6kt,5,6
337,592yn8,5,5
338,3c1bvz,6,5
339,58p45j,5,3
340,5vc23g,4,6
341,58ogo2,5,6
342,2po6du,6,6
343,2pqyep,5,7
344,a6y199,7,7
345,5vc9um,5,5
346,1j4b57,5,5
347,3mf9xa,10,8
348,1jbtf2,12,12
349,a5s6ke,4,4
350,4yabfb,5,4
351,58ndmw,8,0
352,4y9x68,4,6
353,4gu0pa,0,4
354,2pe0pf,3,3
355,1fy9zm,11,11
356,3mkzws,4,3
357,a8rhob,6,6
358,5vai6s,4,0
359,4gqksm,5,4
360,1fazzg,7,4
361,a9h2yv,8,8
362,2pirpq,6,4
363,58qf12,4,4
364,4gsjab,2,3
365,3xdwej,9,8
366,2pmk64,4,5
367,5crphl,4,4
368,3xfbex,5,4
369,1ggzr6,8,0
370,a8eu80,6,6
371,a8cpeo,15,14
372,4grwlc,6,4
373,4wo23h,4,5
374,5w3ic3,2,3
375,655mg1,5,6
376,2t55fb,9,8
377,27npmp,4,2
378,26uwaf,6,7
379,2t0oqc,2,2
380,2t0vi3,12,13
381,9l1kok,5,5
382,274sco,10,10
383,3wb5wg,3,6
384,6qmswr,10,10
385,4o4vlv,2,2
386,4hv98g,4,4
387,28bye2,9,9
388,4hvhov,3,3
389,4uhepu,4,4
390,2izn1r,3,4
391,bb73xe,5,5
392,8vw5oc,3,3
393,2xwtc8,10,10
394,bcue97,4,4
395,4u72q9,9,9
396,8sl2xy,7,7
397,10vlce,7,7
398,2xzzao,11,11
399,3v3nt0,4,4
400,5u3l56,6,8
401,5hb1uo,2,3
402,2t4m5m,2,2
403,3v2os8,4,5
404,2ta4mh,9,8
405,8wolcb,9,9
406,2om1g7,8,10
407,8z2qvl,5,6
408,2ocvdw,7,7
409,8zm670,6,5
410,5khw5v,5,5
411,90jbxq,3,4
412,2wkq9l,5,5
413,2wm2bo,9,8
414,4umahw,4,5
415,4ulqck,7,7
416,2x67um,7,6
417,2qlb06,2,4
418,bagb6h,6,6
419,2jacne,10,10
420,2wyc1w,4,4
421,6ru8po,11,0
422,5bdof9,4,4
423,23e29x,12,0
