,id,deg_assortativity_coefficient_joke,deg_assortativity_coefficient_njok
432,97pppp,-0.8447367914999205,-1.0000000000000002
433,97pppp,0.346843987809649,0.2820380374088836
434,97pppp,-0.44721359549995715,-0.4082482904638643
435,97pppp,,
436,97pppp,,
437,97pppp,,
438,97pppp,,
439,97pppp,-0.250000000000001,-0.250000000000001
440,97pppp,,
441,97pppp,,
442,97pppp,inf,inf
443,97pppp,,
444,97pppp,,
445,97pppp,,
446,97pppp,,
447,97pppp,,
448,97pppp,,
449,97pppp,,
450,97pppp,,inf
451,97pppp,-0.35355339059327184,
452,97pppp,-0.3990119375605062,-0.3990119375605062
453,97pppp,,
454,97pppp,-0.6666666666666686,-1.0
455,97pppp,,
456,97pppp,,
457,97pppp,-0.4999999999999988,-0.4999999999999988
458,97pppp,,
459,97pppp,,
460,97pppp,,
461,97pppp,,
462,97pppp,,
463,97pppp,,
464,97pppp,-0.7905694150420939,inf
465,97pppp,-0.4999999999999988,-0.4999999999999988
466,97pppp,,
467,97pppp,-0.5773502691896258,-0.5773502691896258
468,97pppp,-0.4999999999999988,
469,97pppp,,
470,97pppp,,
471,97pppp,,
472,97pppp,,
473,97pppp,,
474,97pppp,,
475,97pppp,,
476,97pppp,-0.6324555320336738,-0.6324555320336738
477,97pppp,,
478,97pppp,-0.14852213144650162,-0.33333333333333287
479,97pppp,,
480,97pppp,-0.2041241452319327,-0.2041241452319327
481,97pppp,,
482,97pppp,-0.1666666666666696,inf
483,97pppp,,
484,97pppp,,
485,97pppp,,
486,97pppp,,
487,97pppp,-0.14907119849998599,-0.14907119849998599
488,97pppp,,-0.4999999999999988
489,97pppp,-0.1666666666666696,-0.1666666666666696
490,97pppp,,
491,97pppp,,-0.4999999999999988
492,97pppp,,-0.6123724356957957
493,97pppp,,
494,97pppp,,
495,97pppp,,
496,97pppp,,
497,97pppp,-0.4999999999999988,
498,97pppp,,
499,97pppp,,
500,97pppp,,
501,97pppp,-0.707106781186546,-0.707106781186546
502,97pppp,,
503,97pppp,,
504,97pppp,,
505,97pppp,0.0,0.9999999999999954
506,97pppp,-0.4999999999999988,
507,97pppp,,
508,97pppp,-0.4999999999999988,-0.4999999999999988
509,97pppp,,
510,97pppp,,
511,97pppp,,
512,97pppp,,inf
513,97pppp,,
514,97pppp,,
515,97pppp,,
516,97pppp,,
517,97pppp,,0.4999999999999995
518,97pppp,,
519,97pppp,-0.264575131106461,-0.264575131106461
520,97pppp,,
521,97pppp,,-1.0
522,97pppp,,
523,97pppp,,-0.4999999999999988
524,97pppp,-0.999999999999998,-0.999999999999998
525,97pppp,,-1.0
526,97pppp,,
527,97pppp,-1.0,-0.7071067811865475
528,97pppp,,
529,97pppp,,
530,97pppp,,
531,97pppp,,
532,97pppp,,
533,97pppp,,
534,97pppp,,
535,97pppp,,
536,97pppp,,
537,97pppp,-0.3333333333333333,
538,97pppp,,
539,97pppp,,
540,97pppp,inf,
541,97pppp,,
542,97pppp,,
543,97pppp,,
544,97pppp,-0.6123724356957957,
545,97pppp,,
546,97pppp,-0.2581988897471611,0.14907119849998599
547,97pppp,,
548,97pppp,,
549,97pppp,,
550,97pppp,,
551,97pppp,-0.02941176470588293,-0.02941176470588293
552,97pppp,,
553,97pppp,-1.0,-1.0
554,97pppp,,
555,97pppp,-0.7071067811865475,-0.7071067811865475
556,97pppp,,
557,97pppp,,
558,97pppp,,
559,97pppp,-0.4082482904638675,
560,97pppp,0.5773502691896258,0.5773502691896258
561,97pppp,,
562,97pppp,,
563,97pppp,0.40824829046386113,0.40824829046386113
564,97pppp,-0.6454972243679018,
565,97pppp,,
566,97pppp,,
567,97pppp,,
568,97pppp,,
569,97pppp,,
570,97pppp,0.2499999999999976,-0.11470786693528248
571,97pppp,-0.4082482904638675,inf
572,97pppp,0.0,-0.4999999999999988
573,97pppp,,
574,97pppp,,
575,97pppp,inf,
576,97pppp,,
577,97pppp,-0.02777777777777782,-0.14907119849998599
578,97pppp,0.0,0.0
579,97pppp,-0.09128709291752553,-0.09128709291752553
580,97pppp,,-0.5
581,97pppp,,-0.1581138830084186
582,97pppp,0.0,0.0
583,97pppp,-inf,-inf
584,97pppp,,
585,97pppp,0.3162277660168372,0.3162277660168372
586,97pppp,,
587,97pppp,0.2499999999999999,
588,97pppp,0.4485426135725308,0.4485426135725308
589,97pppp,,-1.0
590,97pppp,-0.4999999999999988,
591,97pppp,,
592,97pppp,,
593,97pppp,,
594,97pppp,inf,inf
595,97pppp,,
596,97pppp,,
597,97pppp,0.0,0.0
598,97pppp,,
599,97pppp,0.15811388300841675,0.0
600,97pppp,-0.20561572340611733,-0.20561572340611733
601,97pppp,,
602,97pppp,-1.0280809080416378e-15,0.1111111111111111
603,97pppp,,
604,97pppp,-0.4999999999999988,-0.4999999999999988
605,97pppp,,
606,97pppp,,
607,97pppp,,
608,97pppp,,
609,97pppp,-0.4999999999999988,
610,97pppp,,
611,97pppp,-0.1666666666666696,
612,97pppp,,
